State,01 Live Animals,02 Meat And Edible Meat Offal,"03 Fish, Crustaceans & Aquatic Invertebrates",04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"05 Products Of Animal Origin, Nesoi","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",07 Edible Vegetables & Certain Roots & Tubers,08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"09 Coffee, Tea, Mate & Spices",10 Cereals,11 Milling Products; Malt; Starch; Inulin; Wht Gluten,"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","13 Lac; Gums, Resins & Other Vegetable Sap & Extract",14 Vegetable Plaiting Materials & Products Nesoi,"15 Animal, Vegetable Or Microbial Fats And Oils Etc","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",17 Sugars And Sugar Confectionary,18 Cocoa And Cocoa Preparations,"19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts",21 Miscellaneous Edible Preparations,"22 Beverages, Spirits And Vinegar",23 Food Industry Residues & Waste; Prep Animal Feed,24 Tobacco & Subs;prod For Inhal W/o Combust;nic Prod,25 Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,"26 Ores, Slag And Ash","27 Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",28 Inorg Chem; Prec & Rare-earth Met & Radioact Compd,29 Organic Chemicals,30 Pharmaceutical Products,31 Fertilizers,"32 Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks","33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps","34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",35 Albuminoidal Subst; Modified Starch; Glue; Enzymes,36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,37 Photographic Or Cinematographic Goods,38 Miscellaneous Chemical Products,39 Plastics And Articles Thereof,40 Rubber And Articles Thereof,41 Raw Hides And Skins (no Furskins) And Leather,42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art,43 Furskins And Artificial Fur; Manufactures Thereof,44 Wood And Articles Of Wood; Wood Charcoal,45 Cork And Articles Of Cork,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,48 Paper & Paperboard & Articles (inc Papr Pulp Artl),"49 Printed Books, Newspapers Etc; Manuscripts Etc","50 Silk, Including Yarns And Woven Fabric Thereof","51 Wool & Animal Hair, Including Yarn & Woven Fabric","52 Cotton, Including Yarn And Woven Fabric Thereof",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"54 Manmade Filaments, Including Yarns & Woven Fabrics","55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","56 Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",57 Carpets And Other Textile Floor Coverings,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,59 Impregnated Etc Text Fabrics; Tex Art For Industry,60 Knitted Or Crocheted Fabrics,"61 Apparel Articles And Accessories, Knit Or Crochet","62 Apparel Articles And Accessories, Not Knit Etc.",63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"64 Footwear, Gaiters Etc. And Parts Thereof",65 Headgear And Parts Thereof,"66 Umbrellas, Walking-sticks, Riding-crops Etc, Parts","67 Prep Feathers, Down Etc; Artif Flowers; H Hair Art","68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",69 Ceramic Products,70 Glass And Glassware,"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin",72 Iron And Steel,73 Articles Of Iron Or Steel,74 Copper And Articles Thereof,75 Nickel And Articles Thereof,76 Aluminum And Articles Thereof,78 Lead And Articles Thereof,79 Zinc And Articles Thereof,80 Tin And Articles Thereof,81 Base Metals Nesoi; Cermets; Articles Thereof,"82 Tools, Cutlery Etc. Of Base Metal & Parts Thereof",83 Miscellaneous Articles Of Base Metal,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"87 Vehicles, Except Railway Or Tramway, And Parts Etc","88 Aircraft, Spacecraft, And Parts Thereof","89 Ships, Boats And Floating Structures","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc",91 Clocks And Watches And Parts Thereof,92 Musical Instruments; Parts And Accessories Thereof,93 Arms And Ammunition; Parts And Accessories Thereof,"94 Furnit;bedding,mattres;luminaires,light Fix;prefab","95 Toys, Games & Sport Equipment; Parts & Accessories",96 Miscellaneous Manufactured Articles,"97 Works Of Art, Collectors' Pieces And Antiques","98 Special Classification Provisions, Nesoi",IsSoutheastern,IsEastern
Alabama,113482107,138123709,488700,51736040,2682317,289836,756792,198956,1124827,217878,66860,202769958,19134,20619,18510265,6938161,5740224,1630351,1223558,1994668,7194313,112074,39274331,2446563,24353632,143149,2613707503,176239679,544376589,34834061,28176707,48837881,11524982,21012040,11826571,5311401,58038,590142604,800949809,119336890,3236,2209597,3006,404225852,2741,9338,526026533,355014343,7566452,,18579,51665475,32492,42325888,50392993,8312514,16504626,6540319,27267064,4334817,24824346,11455754,11193518,2901874,1194896,314197,75808,22972692,9598735,62002280,91522035,1433592371,240053755,150594505,14026841,365575599,880481,90375,884516,70668265,11030968,36854263,1352461001,616490538,56480534,11089167577,1326956535,5632858,420839738,508502,530399,116169419,112090992,18201454,1722772,603604,86180148,1,0
Alaska,198004,490962,1902751261,190906,5168413,13366,56475,47909,194776,16432,9866,100533,,,33081620,28578074,230635,26000,211682,202830,475720,660342,105098369,,470868,1923385884,453850338,435369,141060,349752,,500192,186685,136248,89996,143791,169796,1659546,2095224,415469,6024,17258,356850,57561735,,,153694,200635,53744,,15320,49101,,20376,3365,1253181,,,107011,126621,2666,118550,399640,2935,434366,,,30052,,104593,936208177,3350006,4548472,348887,9336,2499415,,,,718252,506520,252484,35043686,58067517,348043,7659649,132998739,3097609,13710813,890612,23558,1107397,308030,918948,78441,259008,4999605,0,0
Arizona,16799531,190478171,708927,96734357,4776574,4916022,343179215,218707709,515374,1114969,480212,202927982,494610,80764,33284633,7182454,28497747,3707095,20296541,14817785,41122200,221126657,14928288,2382586,11624135,2039705259,267807274,96226244,59299488,165686047,33108532,29939569,42038206,78111540,23692935,30785633,8871052,392200046,660316384,100354020,17681124,16242879,25840,42657504,55752,4097,22189695,115914289,40361009,6548,58605,61936169,184564,7038598,1029719,16728355,1422515,6507081,21732553,6855094,14582361,39528058,27942964,1197578,7233659,31122,68273,38727808,16204658,30802034,312821493,69373267,243533810,236133227,39875052,160771905,280432,2405056,2521251,23999937,93686222,209130119,5953656916,6606074244,22371236,711469852,4550114638,6879763,2994384715,4059979,6535820,289344658,65075181,131879555,6742366,21340510,646987703,0,0
Arkansas,4999593,483139550,5862979,174739474,3688991,79300,3791384,1214736,307522,380242012,8800750,53715089,,21497,2223706,73103502,69186,343941,19008421,2062632,33880707,43155894,93910853,47402,8515780,867708,71158758,77137014,130181737,40310667,14192104,27027530,94908977,35515839,8564118,14099066,16544,49934862,325618240,90797759,5168231,1026081,18828,14961434,2704,,246794368,204081911,3925283,10118,2806,181827944,,604386,245471,751512,1296251,384761,1533284,68218,330406,910965,1278457,581609,721323,6396,9791,16753444,7286608,5387992,1563451,279795962,123791576,20897100,3023485,80698546,39265,1758725,,2458361,54709256,6739698,544928857,277900457,31769934,217613876,802893988,4385590,128107941,157850,28789,465430264,17090959,5183351,1914389,1292801,73529251,1,0
California,61707128,1314260839,231936327,1574844669,100090403,116302428,1571683461,10800010200,160305031,730107248,89116214,996632680,35080783,6059399,160146939,227627637,253005091,244720748,556498241,1331273153,2216455462,1358766477,581014552,20553147,144027871,116765586,5646364618,1129255219,969580648,5049805943,87364501,516212600,1592058211,481026718,620200834,88702367,346321490,3619412635,4601896161,670539884,53879560,280234135,12410856,410702984,11346910,2206169,822230432,812559247,204622367,375317,1161396,526346255,2121237,52428860,48091142,66053708,18347977,35217878,76444922,151454190,1264248356,739402810,278493583,211623896,57728309,3182681,33461040,362067789,394225112,387349198,3581272939,1787085707,2139210902,1300115996,464861490,1988064562,49724097,50211315,13091661,391606914,213625836,697909669,30766276846,28579575155,401182075,7144578011,7461898600,106349680,18538701878,145866017,305872111,227610307,847717699,1256375840,160438626,1238627510,770789169,0,0
Colorado,6871667,1687539127,234297,21313871,26213689,1018154,31808660,1967511,1744836,256403759,4853307,115857597,2924526,187781,6772991,2531036,21972270,8202510,31554382,2065412,48312965,9460181,153159706,8014,11917376,53576645,39793774,43626405,237846658,184731809,3043960,18469442,20167013,22818896,39750560,9448127,51172352,167971567,234981821,92415552,63194930,21932532,191044,7603517,30880,59243,2110429,9196856,34111964,4786,,223044,88016,720960,598736,17866193,1131565,2633855,2637420,154731,8729852,53790664,23900059,5705221,6464399,62497,296039,53401701,57243790,28686686,313664506,18650875,349640967,52339967,8996110,173876665,172805,388829,2594104,13977040,17616639,26905495,1433142186,1276747313,6114136,210272367,468666556,20063653,1091230429,1866306,1532209,4345533,18445961,39994780,7186379,22773690,30372448,0,0
Connecticut,3368330,1504586,87183,21524369,373113,301743,6835771,312594,11144919,9265097,97861,912952,6907535,380440,10104193,182455,113961708,576972,12451032,2260755,78518844,11494643,12982965,67955786,16015560,1075962,86568345,168812210,119846862,36628522,127776,44136035,103500328,59965012,40692323,19342305,15735970,199442004,558426549,63029784,1771099,4913309,22305,25509927,6993,23944,89055387,79706268,16416876,23196,745229,965839,385030,17635777,970076,28732871,687844,1638124,19559454,753162,3799281,4653892,11471566,1120069,435658,90785,441072,17749826,36339602,30091496,88047986,176432866,189402853,93441394,75441526,92029941,518268,3638869,3915272,48380400,69805939,93776502,3759978646,1619388200,15138000,214225972,4937782852,13351867,1192792983,6315503,1068212,78075186,47471293,108555255,37634135,53001748,624415373,0,1
Delaware,38333,116957352,590921,170536,8500961,,1513526,136955557,478995,507571,441832,5385768,11045937,,716117,1469663,1493359,8625370,4219173,10277753,27486925,6939804,6979229,94050,4700006,8776727,208389726,44435910,67032561,397809404,1170327,70337241,32955819,145413130,9511258,1079840,3963109,63127101,662025691,36242584,64865,3317902,28256,1759243,9750,98113,44802197,62604863,1465816,2965,47337,3779607,3163,8436800,35297099,37781267,112988,655368,17954959,445315,7117041,15938619,5457574,13293597,463480,22534,9883,3463180,2545210,2586634,18073813,1354153,20638771,9069146,2106388,6360023,2884,,149980,235342,2400708,3234859,663171054,333962639,304225,118526159,255943444,5597212,355599436,4502685,966104,117245464,4501917,7513049,10074336,17639650,3116098,0,1
Florida,53456058,1012915750,319771642,529432866,14403821,89889039,367184996,376009148,113382156,55745666,25232503,81241432,26425170,1694406,115038203,193564101,107692282,105162993,247530534,355316571,601446605,531687510,97178709,122173502,85794079,16641126,460026021,95164315,350958818,3182935066,1421044869,316732675,1541568694,197860502,93932136,151034564,38240658,407479454,1956029887,273137057,11316097,99322103,1663827,319279362,600083,609636,261042448,733666616,138222743,50919,568503,16585176,797637,35881421,23267677,30957993,14855161,14073022,35392757,22600910,166808909,124548708,178393208,54345029,21075186,15376166,10737734,117732201,57574818,90626790,1497708701,412727461,719525385,357899166,44747008,501176749,4041715,4117008,4773563,206067557,144807737,232481359,10473634889,11562142604,64797515,3209327566,9594350839,1083809014,3917997106,239099304,15930595,206730290,403394601,722218861,70644620,428783366,1101628031,1,1
Georgia,50116457,1298474113,18038621,86750924,14804726,2181850,68018441,88179960,8562996,3731333,4352304,338998742,1792376,651474,83461888,163413957,25873924,50812520,132213562,81876154,340535770,102779503,409471127,6123288,601307433,2098857,722075562,216993858,286609585,493897766,17401898,170707709,149301511,115133252,81233504,431660,23794875,1006666533,2136666721,349984943,21338110,42257541,30291,498319242,210092,610723,1549939669,1733507234,50248708,126866,381944,987018301,927234,87332784,181071865,108921975,268894677,10991866,65896751,16972296,37784699,21610785,96583186,17289111,5005232,813492,11153617,122332629,46227918,177676726,67502313,256613772,480692504,312217745,167628237,531736616,4318881,8619087,1461499,70379772,43616416,107025460,8714901422,4574063848,22152930,3575077331,9364079551,140476003,2610107237,7935154,1679984,85109649,271391644,185743309,193453322,25493129,414560681,1,1
