Rank,"15 Animal, Vegetable Or Microbial Fats And Oils Etc",37 Photographic Or Cinematographic Goods,39 Plastics And Articles Thereof,40 Rubber And Articles Thereof,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,"50 Silk, Including Yarns And Woven Fabric Thereof","51 Wool & Animal Hair, Including Yarn & Woven Fabric","52 Cotton, Including Yarn And Woven Fabric Thereof",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"54 Manmade Filaments, Including Yarns & Woven Fabrics","55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","56 Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",57 Carpets And Other Textile Floor Coverings,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,59 Impregnated Etc Text Fabrics; Tex Art For Industry,60 Knitted Or Crocheted Fabrics,63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"64 Footwear, Gaiters Etc. And Parts Thereof",69 Ceramic Products,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"87 Vehicles, Except Railway Or Tramway, And Parts Etc","88 Aircraft, Spacecraft, And Parts Thereof",96 Miscellaneous Manufactured Articles
1,Louisiana,Oregon,Texas,Texas,California,Georgia,New York,Texas,Texas,North Carolina,North Carolina,Tennessee,Virginia,Georgia,Texas,Texas,California,Texas,Oregon,California,Illinois,Michigan,Kentucky,Pennsylvania
2,Texas,California,California,South Carolina,Texas,California,California,North Carolina,Georgia,California,Texas,North Carolina,Texas,South Carolina,California,North Carolina,North Carolina,California,California,New York,Texas,South Carolina,Washington,Ohio
3,Illinois,New York,Ohio,Illinois,New Jersey,North Carolina,Washington,Missouri,Tennessee,South Carolina,Tennessee,Virginia,North Carolina,Texas,North Carolina,Michigan,South Carolina,Florida,Massachusetts,Texas,California,Alabama,Texas,Georgia
4,New Jersey,New Jersey,Michigan,Ohio,Indiana,Mississippi,New Mexico,New York,North Carolina,Oregon,Virginia,Georgia,Pennsylvania,Michigan,New York,Pennsylvania,Texas,Illinois,Texas,Virginia,Pennsylvania,Texas,Florida,California
5,California,Idaho,Illinois,Louisiana,South Carolina,Alabama,Texas,Nebraska,California,New York,South Carolina,South Carolina,Georgia,California,Minnesota,California,Tennessee,New Jersey,New York,South Carolina,Oregon,Indiana,Georgia,Texas
6,Florida,Massachusetts,South Carolina,California,New York,South Carolina,Georgia,Oregon,Mississippi,Georgia,Georgia,Texas,Wisconsin,Alabama,Illinois,South Carolina,Florida,Georgia,Florida,Ohio,Indiana,Illinois,California,Tennessee
7,Virginia,South Carolina,Pennsylvania,Tennessee,Ohio,Texas,New Jersey,Illinois,South Carolina,Ohio,California,Alabama,South Carolina,Washington,Florida,Georgia,Pennsylvania,New York,New Jersey,Massachusetts,Ohio,Ohio,South Carolina,Illinois
8,Iowa,Tennessee,Louisiana,Oregon,Georgia,Virginia,North Carolina,South Carolina,Arkansas,Florida,Alabama,California,Michigan,Florida,South Carolina,Massachusetts,Michigan,Pennsylvania,Ohio,Pennsylvania,South Carolina,California,Ohio,Wisconsin
9,Georgia,Colorado,Tennessee,Michigan,Florida,New York,South Carolina,Rhode Island,Virginia,Virginia,Florida,Delaware,Tennessee,North Carolina,Tennessee,Maryland,Georgia,South Carolina,Minnesota,Michigan,Missouri,Kentucky,Connecticut,North Carolina
10,South Carolina,Missouri,Georgia,Pennsylvania,Illinois,Florida,Massachusetts,Maryland,Oklahoma,Texas,Kentucky,Massachusetts,Ohio,Pennsylvania,Georgia,Illinois,Virginia,Michigan,South Carolina,North Carolina,Florida,Oregon,Arizona,South Carolina
