Rank,23 Food Industry Residues & Waste; Prep Animal Feed,"26 Ores, Slag And Ash",29 Organic Chemicals,"33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps","34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",37 Photographic Or Cinematographic Goods,39 Plastics And Articles Thereof,40 Rubber And Articles Thereof,43 Furskins And Artificial Fur; Manufactures Thereof,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk","50 Silk, Including Yarns And Woven Fabric Thereof","51 Wool & Animal Hair, Including Yarn & Woven Fabric",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,57 Carpets And Other Textile Floor Coverings,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,59 Impregnated Etc Text Fabrics; Tex Art For Industry,60 Knitted Or Crocheted Fabrics,63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"64 Footwear, Gaiters Etc. And Parts Thereof",69 Ceramic Products,72 Iron And Steel,78 Lead And Articles Thereof,80 Tin And Articles Thereof,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"87 Vehicles, Except Railway Or Tramway, And Parts Etc"
1,Georgia,South Carolina,North Carolina,Florida,North Carolina,South Carolina,South Carolina,South Carolina,Florida,South Carolina,Georgia,North Carolina,North Carolina,Georgia,North Carolina,North Carolina,North Carolina,Florida,Florida,Virginia,Alabama,Georgia,Florida,South Carolina,South Carolina
2,Virginia,Florida,South Carolina,North Carolina,Florida,Tennessee,Tennessee,Tennessee,South Carolina,Georgia,North Carolina,South Carolina,South Carolina,South Carolina,Florida,South Carolina,South Carolina,Georgia,South Carolina,South Carolina,South Carolina,Florida,South Carolina,Florida,Alabama
3,South Carolina,Tennessee,Alabama,South Carolina,South Carolina,Florida,Georgia,Georgia,North Carolina,Florida,South Carolina,Florida,Georgia,Alabama,South Carolina,Georgia,Tennessee,South Carolina,Georgia,North Carolina,Kentucky,South Carolina,Georgia,Alabama,Kentucky
4,Kentucky,Kentucky,Tennessee,Virginia,Kentucky,Kentucky,Virginia,Kentucky,Virginia,Virginia,Florida,Georgia,Florida,Florida,Tennessee,Tennessee,Florida,North Carolina,Kentucky,Florida,Florida,Virginia,Virginia,North Carolina,Tennessee
5,North Carolina,Virginia,Florida,Georgia,Tennessee,Georgia,Florida,Florida,Tennessee,North Carolina,Kentucky,Virginia,Virginia,North Carolina,Georgia,Florida,Georgia,Virginia,Virginia,Georgia,Mississippi,North Carolina,Alabama,Mississippi,Georgia
6,Florida,North Carolina,Kentucky,Kentucky,Georgia,Virginia,North Carolina,North Carolina,Georgia,Kentucky,Arkansas,Mississippi,Kentucky,Tennessee,Alabama,Alabama,Virginia,Alabama,Tennessee,Tennessee,North Carolina,Tennessee,North Carolina,Kentucky,Florida
7,Arkansas,Georgia,Georgia,Arkansas,Virginia,North Carolina,Kentucky,Alabama,Arkansas,Mississippi,Tennessee,Alabama,Alabama,Virginia,Virginia,Kentucky,Mississippi,Mississippi,North Carolina,Kentucky,Arkansas,Alabama,Kentucky,Arkansas,Virginia
8,Alabama,Arkansas,Virginia,Tennessee,Arkansas,Mississippi,Alabama,Virginia,Alabama,Alabama,Alabama,Kentucky,Arkansas,Kentucky,Kentucky,Virginia,Kentucky,Tennessee,Alabama,Alabama,Georgia,Kentucky,Tennessee,Georgia,North Carolina
9,Mississippi,Alabama,Arkansas,Mississippi,Alabama,Alabama,Arkansas,Arkansas,Kentucky,Tennessee,Mississippi,Arkansas,Mississippi,Arkansas,Mississippi,Mississippi,Alabama,Kentucky,Mississippi,Arkansas,Virginia,Arkansas,Arkansas,Tennessee,Mississippi
10,Tennessee,Mississippi,Mississippi,Alabama,Mississippi,Arkansas,Mississippi,Mississippi,Mississippi,Arkansas,Virginia,Tennessee,Tennessee,Mississippi,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Mississippi,Tennessee,Mississippi,Mississippi,Virginia,Arkansas
